year,average_price,year_open,year_high,year_low,year_close,year_change,decade,change_category
1928,19.94,17.76,24.35,16.95,24.35,0.3788,1920,30% - 40%
1929,26.19,24.81,31.86,17.66,21.45,-0.1191,1920,(20%) - (10%)
1930,21,21.18,25.92,14.44,15.34,-0.2848,1930,(30%) - (20%)
1931,13.66,15.85,18.17,7.72,8.12,-0.4707,1930,(50%) - (40%)
1932,6.92,7.82,9.31,4.4,6.89,-0.1515,1930,(20%) - (10%)
1933,9.04,6.83,12.2,5.53,10.1,0.4659,1930,40% - 50%
1934,9.83,10.11,11.82,8.36,9.5,-0.0594,1930,(10%) - (0%)
1935,10.58,9.51,13.46,8.06,13.43,0.4137,1930,40% - 50%
1936,15.45,13.4,17.69,13.4,17.18,0.2792,1930,20% - 30%
1937,15.41,17.02,18.68,10.17,10.55,-0.3859,1930,(40%) - (30%)
1938,11.48,10.52,13.91,8.5,13.21,0.2521,1930,20% - 30%
1939,12.05,13.08,13.23,10.18,12.49,-0.0545,1930,(10%) - (0%)
1940,11.01,12.63,12.77,8.99,10.58,-0.1529,1940,(20%) - (10%)
1941,9.83,10.48,10.86,8.37,8.69,-0.1786,1940,(20%) - (10%)
1942,8.67,8.89,9.77,7.47,9.77,0.1243,1940,10% - 20%
1943,11.52,9.84,12.64,9.84,11.67,0.1945,1940,10% - 20%
1944,12.47,11.66,13.29,11.56,13.28,0.1380,1940,10% - 20%
1945,15.14,13.33,17.68,13.21,17.36,0.3072,1940,30% - 40%
1946,17.07,17.25,19.25,14.12,15.3,-0.1187,1940,(20%) - (10%)
1947,15.15,15.2,16.2,13.71,15.3,0.0000,1940,0% - 10%
1948,15.51,15.34,17.06,13.84,15.2,-0.0065,1940,(10%) - (0%)
1949,15.24,14.95,16.79,13.55,16.76,0.1026,1940,0% - 10%
1950,18.39,16.66,20.43,16.65,20.41,0.2178,1950,20% - 30%
1951,22.32,20.77,23.85,20.69,23.77,0.1646,1950,10% - 20%
1952,24.45,23.8,26.59,23.09,26.57,0.1178,1950,10% - 20%
1953,24.72,26.54,26.66,22.71,24.81,-0.0662,1950,(10%) - (0%)
1954,29.72,24.95,35.98,24.8,35.98,0.4502,1950,40% - 50%
1955,40.5,36.75,46.41,34.58,45.48,0.2640,1950,20% - 30%
1956,46.64,45.16,49.64,43.11,46.67,0.0262,1950,0% - 10%
1957,44.42,46.2,49.13,38.98,39.99,-0.1431,1950,(20%) - (10%)
1958,46.2,40.33,55.21,40.33,55.21,0.3806,1950,30% - 40%
1959,57.42,55.44,60.71,53.58,59.89,0.0848,1950,0% - 10%
1960,55.85,59.91,60.39,52.2,58.11,-0.0297,1960,(10%) - (0%)
1961,66.27,57.57,72.64,57.57,71.55,0.2313,1960,20% - 30%
1962,62.32,70.96,71.13,52.32,63.1,-0.1181,1960,(20%) - (10%)
1963,69.86,62.69,75.02,62.69,75.02,0.1889,1960,10% - 20%
1964,81.37,75.43,86.28,75.43,84.75,0.1297,1960,10% - 20%
1965,88.16,84.23,92.63,81.6,92.43,0.0906,1960,0% - 10%
1966,85.18,92.18,94.06,73.2,80.33,-0.1309,1960,(20%) - (10%)
1967,91.96,80.38,97.59,80.38,96.47,0.2009,1960,20% - 30%
1968,98.38,96.11,108.37,87.72,103.86,0.0766,1960,0% - 10%
1969,97.77,103.93,106.16,89.2,92.06,-0.1136,1960,(20%) - (10%)
1970,83.15,93,93.46,69.29,92.15,0.0010,1970,0% - 10%
1971,98.32,91.15,104.77,90.16,102.09,0.1079,1970,0% - 10%
1972,109.13,101.67,119.12,101.67,118.05,0.1563,1970,10% - 20%
1973,107.44,119.1,120.24,92.16,97.55,-0.1737,1970,(20%) - (10%)
1974,82.78,97.68,99.8,62.28,68.56,-0.2972,1970,(30%) - (20%)
1975,86.18,70.23,95.61,70.04,90.19,0.3155,1970,30% - 40%
1976,102.04,90.9,107.83,90.9,107.46,0.1915,1970,10% - 20%
1977,98.18,107,107,90.71,95.1,-0.1150,1970,(20%) - (10%)
1978,96.11,93.82,106.99,86.9,96.11,0.0106,1970,0% - 10%
1979,103,96.73,111.27,96.13,107.94,0.1231,1970,10% - 20%
1980,118.71,105.76,140.52,98.22,135.76,0.2577,1980,20% - 30%
1981,128.04,136.34,138.12,112.77,122.55,-0.0973,1980,(10%) - (0%)
1982,119.71,122.74,143.02,102.42,140.64,0.1476,1980,10% - 20%
1983,160.47,138.34,172.65,138.34,164.93,0.1727,1980,10% - 20%
1984,160.46,164.04,170.41,147.82,167.24,0.0140,1980,0% - 10%
1985,186.83,165.37,212.02,163.68,211.28,0.2633,1980,20% - 30%
1986,236.39,209.59,254,203.49,242.17,0.1462,1980,10% - 20%
1987,287,246.45,336.77,223.92,247.08,0.0203,1980,0% - 10%
1988,265.88,255.94,283.66,242.63,277.72,0.1240,1980,10% - 20%
1989,323.05,275.31,359.8,275.31,353.4,0.2725,1980,20% - 30%
1990,334.63,359.69,368.95,295.46,330.22,-0.0656,1990,(10%) - (0%)
1991,376.19,326.45,417.09,311.49,417.09,0.2631,1990,20% - 30%
1992,415.75,417.26,441.28,394.5,435.71,0.0446,1990,0% - 10%
1993,451.61,435.38,470.94,429.05,466.45,0.0706,1990,0% - 10%
1994,460.42,465.44,482,438.92,459.27,-0.0154,1990,(10%) - (0%)
1995,541.72,459.11,621.69,459.11,615.93,0.3411,1990,30% - 40%
1996,670.49,620.73,757.03,598.48,740.74,0.2026,1990,20% - 30%
1997,873.43,737.01,983.79,737.01,970.43,0.3101,1990,30% - 40%
1998,1085.5,975.04,1241.81,927.69,1229.23,0.2667,1990,20% - 30%
1999,1327.33,1228.1,1469.25,1212.19,1469.25,0.1953,1990,10% - 20%
2000,1427.22,1455.22,1527.46,1264.74,1320.28,-0.1014,2000,(10%) - (0%)
2001,1192.57,1283.27,1373.73,965.8,1148.08,-0.1304,2000,(20%) - (10%)
2002,993.93,1154.67,1172.51,776.76,879.82,-0.2337,2000,(30%) - (20%)
2003,965.23,909.03,1111.92,800.73,1111.92,0.2638,2000,20% - 30%
2004,1130.65,1108.48,1213.55,1063.23,1211.92,0.0899,2000,0% - 10%
2005,1207.23,1202.08,1272.74,1137.5,1248.29,0.0300,2000,0% - 10%
2006,1310.46,1268.8,1427.09,1223.69,1418.3,0.1362,2000,10% - 20%
2007,1477.18,1416.6,1565.15,1374.12,1468.36,0.0353,2000,0% - 10%
2008,1220.04,1447.16,1447.16,752.44,903.25,-0.3849,2000,(40%) - (30%)
2009,948.05,931.8,1127.78,676.53,1115.1,0.2345,2000,20% - 30%
2010,1139.97,1132.99,1259.78,1022.58,1257.64,0.1278,2010,10% - 20%
2011,1267.64,1271.87,1363.61,1099.23,1257.6,0.0000,2010,0% - 10%
2012,1379.61,1277.06,1465.77,1277.06,1426.19,0.1341,2010,10% - 20%
2013,1643.8,1462.42,1848.36,1457.15,1848.36,0.2960,2010,20% - 30%
2014,1931.38,1831.98,2090.57,1741.89,2058.9,0.1139,2010,10% - 20%
2015,2061.07,2058.2,2130.82,1867.61,2043.94,-0.0073,2010,(10%) - (0%)
2016,2094.65,2012.66,2271.72,1829.08,2238.83,0.0954,2010,0% - 10%
2017,2449.08,2257.83,2690.16,2257.83,2673.61,0.1942,2010,10% - 20%
2018,2746.21,2695.81,2930.75,2351.1,2506.85,-0.0624,2010,(10%) - (0%)
2019,2913.36,2510.03,3240.02,2447.89,3230.78,0.2888,2010,20% - 30%
2020,3217.86,3257.85,3756.07,2237.4,3756.07,0.1626,2020,10% - 20%
2021,4273.41,3700.65,4793.06,3700.65,4766.18,0.2689,2020,20% - 30%
2022,4097.49,4796.56,4796.56,3577.03,3839.5,-0.1944,2020,(20%) - (10%)
